horizon,scenario_mode,seed,pit_bin,count
60,posterior_mean_mc,42,"(0.7, 0.8]",200
60,posterior_mean_mc,42,"(0.8, 0.9]",203
60,posterior_mean_mc,42,"(0.9, 1.0]",261
60,posterior_mean_mc,73,"(-0.001, 0.1]",282
60,posterior_mean_mc,73,"(0.1, 0.2]",170
60,posterior_mean_mc,73,"(0.2, 0.3]",155
60,posterior_mean_mc,73,"(0.3, 0.4]",139
60,posterior_mean_mc,73,"(0.4, 0.5]",155
60,posterior_mean_mc,73,"(0.5, 0.6]",150
60,posterior_mean_mc,73,"(0.6, 0.7]",161
60,posterior_mean_mc,73,"(0.7, 0.8]",201
60,posterior_mean_mc,73,"(0.8, 0.9]",206
60,posterior_mean_mc,73,"(0.9, 1.0]",255
60,variational_posterior,11,"(-0.001, 0.1]",278
60,variational_posterior,11,"(0.1, 0.2]",138
60,variational_posterior,11,"(0.2, 0.3]",187
60,variational_posterior,11,"(0.3, 0.4]",145
60,variational_posterior,11,"(0.4, 0.5]",145
60,variational_posterior,11,"(0.5, 0.6]",171
60,variational_posterior,11,"(0.6, 0.7]",152
60,variational_posterior,11,"(0.7, 0.8]",213
60,variational_posterior,11,"(0.8, 0.9]",220
60,variational_posterior,11,"(0.9, 1.0]",225
60,variational_posterior,42,"(-0.001, 0.1]",283
60,variational_posterior,42,"(0.1, 0.2]",138
60,variational_posterior,42,"(0.2, 0.3]",172
60,variational_posterior,42,"(0.3, 0.4]",155
60,variational_posterior,42,"(0.4, 0.5]",138
60,variational_posterior,42,"(0.5, 0.6]",170
60,variational_posterior,42,"(0.6, 0.7]",163
60,variational_posterior,42,"(0.7, 0.8]",218
60,variational_posterior,42,"(0.8, 0.9]",195
60,variational_posterior,42,"(0.9, 1.0]",241
60,variational_posterior,73,"(-0.001, 0.1]",277
60,variational_posterior,73,"(0.1, 0.2]",149
60,variational_posterior,73,"(0.2, 0.3]",167
60,variational_posterior,73,"(0.3, 0.4]",157
60,variational_posterior,73,"(0.4, 0.5]",134
60,variational_posterior,73,"(0.5, 0.6]",166
60,variational_posterior,73,"(0.6, 0.7]",171
60,variational_posterior,73,"(0.7, 0.8]",200
60,variational_posterior,73,"(0.8, 0.9]",215
60,variational_posterior,73,"(0.9, 1.0]",238
